GEOIDFQ,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,"Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more"
1500000US270017701001,Block Group 1; Census Tract 7701; Aitkin County; Minnesota,465,52,23,9,21,18,21,11,13,6,7,8,23,11,13,8,15,6,28,12,47,17,38,18,99,26,45,17,23,14,28,10,21,8
1500000US270017701002,Block Group 2; Census Tract 7701; Aitkin County; Minnesota,378,46,29,18,22,11,16,13,16,10,20,12,11,8,15,8,13,10,15,9,47,17,29,11,57,16,39,15,21,10,9,6,19,11
1500000US270017701003,Block Group 3; Census Tract 7701; Aitkin County; Minnesota,244,33,6,7,15,15,3,3,15,7,6,5,5,6,5,5,12,9,2,3,9,6,37,23,69,21,31,10,11,7,12,9,6,6
1500000US270017702001,Block Group 1; Census Tract 7702; Aitkin County; Minnesota,364,50,7,7,9,6,21,12,27,17,22,19,25,18,28,18,7,5,12,11,33,17,49,25,58,24,18,10,25,16,6,5,17,15
1500000US270017702002,Block Group 2; Census Tract 7702; Aitkin County; Minnesota,371,49,15,11,23,16,15,13,18,12,13,9,5,4,21,9,9,7,24,14,14,12,69,32,43,14,50,20,28,18,14,13,10,6
1500000US270017702003,Block Group 3; Census Tract 7702; Aitkin County; Minnesota,316,50,16,13,34,21,29,16,6,4,1,2,10,9,36,26,1,2,24,17,34,21,27,20,24,13,35,18,22,17,11,8,6,10
1500000US270017703001,Block Group 1; Census Tract 7703; Aitkin County; Minnesota,593,81,86,45,30,30,38,21,59,36,13,13,20,17,21,14,33,27,12,11,14,14,68,33,63,42,20,16,62,31,48,24,6,7
1500000US270017703002,Block Group 2; Census Tract 7703; Aitkin County; Minnesota,335,51,1,3,47,34,15,9,14,14,18,14,30,27,6,9,10,9,27,17,41,21,16,14,28,16,56,25,8,8,9,8,9,10
1500000US270017703003,Block Group 3; Census Tract 7703; Aitkin County; Minnesota,434,66,18,14,15,11,12,11,16,13,15,16,18,14,15,10,29,23,24,17,29,19,41,24,76,34,55,31,31,15,23,19,17,13
1500000US270017704011,Block Group 1; Census Tract 7704.01; Aitkin County; Minnesota,655,74,14,8,28,13,30,15,32,15,31,24,17,10,26,16,39,19,34,24,29,13,92,31,97,28,48,23,37,23,47,24,54,25
1500000US270017704021,Block Group 1; Census Tract 7704.02; Aitkin County; Minnesota,387,47,2,4,43,25,48,19,39,15,14,8,14,8,13,11,16,7,38,19,27,11,47,17,17,12,31,13,15,13,19,10,4,3
1500000US270017704022,Block Group 2; Census Tract 7704.02; Aitkin County; Minnesota,305,39,14,8,10,5,20,7,11,8,7,6,6,4,13,12,18,11,26,12,27,10,31,15,47,16,31,14,22,15,15,10,7,5
1500000US270017905011,Block Group 1; Census Tract 7905.01; Aitkin County; Minnesota,334,51,19,9,20,9,22,13,32,28,15,9,40,26,3,4,16,16,5,4,20,11,40,21,33,15,20,8,25,11,16,9,8,6
1500000US270017905012,Block Group 2; Census Tract 7905.01; Aitkin County; Minnesota,592,70,25,11,31,13,12,15,43,29,31,18,23,8,16,11,24,13,8,6,72,30,71,22,87,24,55,17,36,13,42,16,16,9
1500000US270017905031,Block Group 1; Census Tract 7905.03; Aitkin County; Minnesota,246,39,16,12,3,4,9,8,15,10,3,5,12,10,4,5,10,11,0,10,17,9,15,10,60,19,23,12,34,30,7,7,18,12
1500000US270017905032,Block Group 2; Census Tract 7905.03; Aitkin County; Minnesota,323,60,0,10,10,8,50,39,15,10,9,8,13,10,10,12,17,12,10,13,32,14,18,11,57,28,15,11,12,9,37,24,18,13
1500000US270017905033,Block Group 3; Census Tract 7905.03; Aitkin County; Minnesota,266,54,7,4,14,10,9,7,9,7,3,6,9,7,6,6,7,5,20,18,35,30,29,12,35,16,24,18,9,7,35,17,15,9
1500000US270017905041,Block Group 1; Census Tract 7905.04; Aitkin County; Minnesota,165,29,18,9,2,3,2,3,13,13,2,3,8,6,5,4,4,4,6,5,10,8,30,15,18,10,9,7,13,12,18,9,7,5
1500000US270017905042,Block Group 2; Census Tract 7905.04; Aitkin County; Minnesota,449,52,17,9,33,33,11,8,5,6,14,14,13,9,17,10,34,15,17,11,33,12,50,16,69,21,44,18,10,8,45,14,37,19
1500000US270030501071,Block Group 1; Census Tract 501.07; Anoka County; Minnesota,718,101,18,23,0,10,11,18,15,22,28,38,24,27,16,18,24,27,19,24,50,36,28,28,142,57,90,56,124,79,67,50,62,37
1500000US270030501072,Block Group 2; Census Tract 501.07; Anoka County; Minnesota,406,95,0,10,0,10,0,10,12,19,0,10,0,10,0,10,0,10,32,48,0,10,78,63,12,20,106,59,56,40,88,58,22,22
1500000US270030501081,Block Group 1; Census Tract 501.08; Anoka County; Minnesota,911,139,52,43,6,12,71,48,18,21,0,10,0,10,0,10,15,19,0,10,91,50,83,58,166,89,65,54,204,73,90,69,50,41
1500000US270030501082,Block Group 2; Census Tract 501.08; Anoka County; Minnesota,541,122,0,10,8,12,2,3,2,3,10,10,2,3,1,3,6,6,3,6,13,11,38,23,94,54,91,65,41,28,156,74,74,62
1500000US270030501083,Block Group 3; Census Tract 501.08; Anoka County; Minnesota,602,115,0,10,0,10,0,10,38,43,35,57,43,47,25,37,36,33,6,9,24,22,15,24,31,29,62,43,123,82,103,67,61,50
1500000US270030501091,Block Group 1; Census Tract 501.09; Anoka County; Minnesota,712,198,0,10,9,15,9,13,0,10,0,10,0,10,9,14,53,53,0,10,47,62,203,178,63,42,81,54,121,64,34,26,83,83
1500000US270030501092,Block Group 2; Census Tract 501.09; Anoka County; Minnesota,326,80,0,10,10,14,0,10,0,10,0,10,0,10,29,45,0,10,3,5,12,13,0,10,53,29,21,28,55,49,103,58,40,32
1500000US270030501093,Block Group 3; Census Tract 501.09; Anoka County; Minnesota,482,142,9,14,0,10,0,10,0,10,0,10,0,10,35,50,0,10,9,13,17,21,6,9,75,49,131,98,70,57,106,83,24,22
1500000US270030501094,Block Group 4; Census Tract 501.09; Anoka County; Minnesota,537,198,0,10,0,10,0,10,0,10,0,10,10,16,0,10,8,12,0,10,0,10,0,10,95,70,60,45,215,205,84,44,65,52
1500000US270030501101,Block Group 1; Census Tract 501.10; Anoka County; Minnesota,486,109,14,17,4,6,0,10,0,10,0,10,4,6,0,10,7,10,0,10,11,14,25,26,57,38,96,66,83,51,114,77,71,48
1500000US270030501102,Block Group 2; Census Tract 501.10; Anoka County; Minnesota,586,116,0,10,8,13,23,37,10,15,7,11,7,11,42,39,0,10,3,6,59,53,64,54,122,60,81,83,15,23,50,51,95,36
1500000US270030501111,Block Group 1; Census Tract 501.11; Anoka County; Minnesota,490,157,16,24,0,10,0,10,0,10,0,10,0,10,7,11,0,10,65,89,83,78,7,11,61,50,32,31,28,25,141,72,50,33
1500000US270030501112,Block Group 2; Census Tract 501.11; Anoka County; Minnesota,450,90,10,15,9,13,30,27,0,10,9,14,0,10,7,11,8,12,12,20,52,46,43,31,72,40,35,30,50,43,61,38,52,38
1500000US270030501113,Block Group 3; Census Tract 501.11; Anoka County; Minnesota,399,124,0,10,0,10,9,14,0,10,54,68,0,10,7,12,0,10,16,19,10,15,50,56,44,51,93,66,0,10,57,35,59,78
1500000US270030501141,Block Group 1; Census Tract 501.14; Anoka County; Minnesota,567,126,7,12,0,10,15,25,0,10,0,10,3,6,0,10,0,10,0,10,12,18,55,41,172,135,58,37,119,87,54,42,72,46
1500000US270030501142,Block Group 2; Census Tract 501.14; Anoka County; Minnesota,522,103,22,25,11,14,0,10,0,10,0,10,21,26,8,10,13,17,0,10,8,13,40,36,39,41,100,88,66,55,83,49,111,56
1500000US270030501151,Block Group 1; Census Tract 501.15; Anoka County; Minnesota,351,91,0,10,0,10,0,10,7,11,0,10,0,10,0,10,0,10,0,10,60,73,29,36,23,27,92,47,21,27,76,66,43,52
1500000US270030501152,Block Group 2; Census Tract 501.15; Anoka County; Minnesota,565,139,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,19,31,34,16,21,131,75,122,73,14,25,97,52,143,95
1500000US270030501153,Block Group 3; Census Tract 501.15; Anoka County; Minnesota,364,159,0,10,0,10,0,10,0,10,0,10,0,10,6,10,6,10,13,23,94,124,49,70,34,31,0,10,21,27,72,64,69,53
1500000US270030501154,Block Group 4; Census Tract 501.15; Anoka County; Minnesota,704,205,0,10,0,10,6,10,0,10,0,10,16,20,17,22,0,10,16,26,0,10,25,24,121,70,173,133,165,161,23,23,142,94
1500000US270030501161,Block Group 1; Census Tract 501.16; Anoka County; Minnesota,415,121,0,10,8,14,0,10,12,20,14,22,0,10,27,40,12,18,0,10,13,20,41,47,12,16,47,39,9,15,146,79,74,41
1500000US270030501162,Block Group 2; Census Tract 501.16; Anoka County; Minnesota,382,110,9,15,0,10,11,17,0,10,0,10,0,10,0,10,8,13,0,10,16,18,40,61,36,44,25,26,54,41,96,53,87,59
1500000US270030501163,Block Group 3; Census Tract 501.16; Anoka County; Minnesota,627,138,14,17,9,13,36,45,0,10,5,9,0,10,0,10,0,10,29,35,20,22,40,52,46,28,32,28,61,42,68,43,267,165
1500000US270030502081,Block Group 1; Census Tract 502.08; Anoka County; Minnesota,352,86,0,10,0,10,9,15,39,57,0,10,0,10,9,14,0,10,0,10,10,17,11,19,72,37,49,39,41,32,51,37,61,35
1500000US270030502082,Block Group 2; Census Tract 502.08; Anoka County; Minnesota,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US270030502083,Block Group 3; Census Tract 502.08; Anoka County; Minnesota,317,107,67,81,0,10,0,10,0,10,12,19,0,10,10,15,0,10,0,10,46,47,9,16,8,13,56,45,57,52,27,23,25,26
1500000US270030502084,Block Group 4; Census Tract 502.08; Anoka County; Minnesota,435,102,0,10,0,10,0,10,10,16,0,10,8,13,0,10,21,24,11,20,0,10,32,31,120,98,57,42,47,31,88,68,41,35
1500000US270030502101,Block Group 1; Census Tract 502.10; Anoka County; Minnesota,589,149,0,10,0,10,0,10,0,10,18,20,0,10,0,10,0,10,20,23,46,47,60,38,32,24,24,22,193,149,99,63,97,48
1500000US270030502102,Block Group 2; Census Tract 502.10; Anoka County; Minnesota,303,93,3,8,0,10,0,10,0,10,0,10,0,10,0,10,11,19,0,10,71,94,19,22,31,31,10,16,72,53,66,35,20,24
1500000US270030502103,Block Group 3; Census Tract 502.10; Anoka County; Minnesota,439,95,20,24,8,13,10,16,27,42,0,10,12,20,9,15,0,10,0,10,0,10,64,48,100,57,61,45,33,33,40,35,55,39
1500000US270030502104,Block Group 4; Census Tract 502.10; Anoka County; Minnesota,308,87,10,15,9,15,0,10,0,10,0,10,0,10,16,26,12,18,22,32,0,10,10,16,47,40,44,40,42,43,86,53,10,15
1500000US270030502151,Block Group 1; Census Tract 502.15; Anoka County; Minnesota,514,97,1,3,0,10,0,10,10,16,0,10,0,10,0,10,8,13,19,21,15,20,75,53,44,36,22,22,118,68,109,57,93,40
1500000US270030502152,Block Group 2; Census Tract 502.15; Anoka County; Minnesota,545,125,0,10,9,14,29,28,12,18,10,16,10,16,14,22,0,10,61,55,18,20,50,29,66,38,41,32,34,41,15,17,176,104
1500000US270030502153,Block Group 3; Census Tract 502.15; Anoka County; Minnesota,412,77,0,10,0,10,45,57,0,10,38,59,0,10,0,10,20,24,9,16,10,15,16,18,45,26,8,14,34,27,106,60,81,47
1500000US270030502161,Block Group 1; Census Tract 502.16; Anoka County; Minnesota,588,111,0,10,0,10,20,22,9,15,0,10,11,16,0,10,0,10,0,10,21,34,35,33,32,28,69,64,50,32,62,46,279,97
1500000US270030502162,Block Group 2; Census Tract 502.16; Anoka County; Minnesota,367,178,1,2,8,13,0,10,0,10,9,14,0,10,0,10,11,17,0,10,8,13,16,18,20,21,173,178,30,38,64,67,27,24
1500000US270030502163,Block Group 3; Census Tract 502.16; Anoka County; Minnesota,358,119,9,15,9,15,0,10,0,10,0,10,0,10,0,10,0,10,0,10,32,43,0,10,6,9,22,25,21,23,81,42,178,102
1500000US270030502164,Block Group 4; Census Tract 502.16; Anoka County; Minnesota,350,67,0,10,0,10,0,10,10,15,10,17,13,15,48,49,0,10,0,10,0,10,0,10,13,15,22,24,0,10,66,41,168,60
1500000US270030502165,Block Group 5; Census Tract 502.16; Anoka County; Minnesota,373,79,0,10,14,22,0,10,0,10,0,10,0,10,0,10,10,15,0,10,0,10,65,48,18,17,64,55,19,22,36,28,147,60
1500000US270030502171,Block Group 1; Census Tract 502.17; Anoka County; Minnesota,643,113,13,21,14,21,7,12,0,10,0,10,11,17,11,17,0,10,0,10,68,49,20,24,37,31,64,46,86,61,123,59,189,70
1500000US270030502172,Block Group 2; Census Tract 502.17; Anoka County; Minnesota,387,76,0,10,17,21,0,10,0,10,0,10,0,10,0,10,0,10,7,12,23,28,29,30,72,53,48,44,0,10,110,48,81,41
1500000US270030502181,Block Group 1; Census Tract 502.18; Anoka County; Minnesota,482,76,0,10,0,10,13,21,0,10,0,10,0,10,9,14,0,10,0,10,32,29,11,17,79,42,149,62,67,58,60,51,62,33
1500000US270030502182,Block Group 2; Census Tract 502.18; Anoka County; Minnesota,338,65,8,13,0,10,0,10,0,10,0,10,0,10,0,10,0,10,21,24,11,20,10,15,30,31,80,54,49,45,82,61,47,35
1500000US270030502183,Block Group 3; Census Tract 502.18; Anoka County; Minnesota,306,129,7,11,11,17,0,10,0,10,23,26,0,10,75,117,0,10,15,23,18,21,0,10,6,10,8,13,41,44,25,23,77,38
1500000US270030502191,Block Group 1; Census Tract 502.19; Anoka County; Minnesota,401,72,0,10,19,29,7,12,0,10,0,10,0,10,0,10,19,19,8,12,9,14,5,9,32,37,28,20,66,39,131,49,77,58
1500000US270030502192,Block Group 2; Census Tract 502.19; Anoka County; Minnesota,585,76,7,12,0,10,17,24,14,16,0,10,0,10,2,6,0,10,11,17,17,23,49,41,49,36,138,61,89,47,129,52,63,39
1500000US270030502201,Block Group 1; Census Tract 502.20; Anoka County; Minnesota,674,144,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,13,21,44,41,134,105,92,90,213,104,178,82
1500000US270030502202,Block Group 2; Census Tract 502.20; Anoka County; Minnesota,565,115,16,26,0,10,16,26,16,26,0,10,0,10,0,10,36,40,41,67,29,34,16,25,34,40,0,10,115,81,96,72,150,78
1500000US270030502203,Block Group 3; Census Tract 502.20; Anoka County; Minnesota,619,165,30,49,0,10,0,10,0,10,0,10,0,10,20,33,0,10,14,24,100,112,35,39,80,58,92,68,95,98,100,101,53,52
1500000US270030502204,Block Group 4; Census Tract 502.20; Anoka County; Minnesota,546,151,18,29,0,10,0,10,0,10,44,69,0,10,0,10,18,29,47,76,0,10,0,10,60,54,69,93,92,72,144,71,54,61
1500000US270030502221,Block Group 1; Census Tract 502.22; Anoka County; Minnesota,364,89,0,10,0,10,0,10,21,22,0,10,0,10,0,10,0,10,0,10,66,58,22,25,42,37,46,33,16,18,28,30,123,64
1500000US270030502222,Block Group 2; Census Tract 502.22; Anoka County; Minnesota,396,137,0,10,0,10,9,16,0,10,0,10,0,10,0,10,0,10,0,10,10,16,25,27,57,46,8,14,96,114,102,42,89,46
1500000US270030502223,Block Group 3; Census Tract 502.22; Anoka County; Minnesota,369,93,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,21,28,14,16,61,58,47,34,46,31,75,49,105,64
1500000US270030502224,Block Group 4; Census Tract 502.22; Anoka County; Minnesota,702,139,10,15,0,10,11,17,0,10,0,10,26,32,0,10,0,10,0,10,0,10,39,31,68,47,142,110,40,31,118,56,248,98
1500000US270030502231,Block Group 1; Census Tract 502.23; Anoka County; Minnesota,393,110,0,10,0,10,0,10,13,20,0,10,0,10,0,10,0,10,66,76,70,72,47,43,71,64,22,24,33,35,59,39,12,20
1500000US270030502232,Block Group 2; Census Tract 502.23; Anoka County; Minnesota,484,121,23,26,0,10,0,10,0,10,0,10,13,19,0,10,0,10,30,32,20,35,61,61,76,49,87,74,67,49,68,61,39,35
1500000US270030502233,Block Group 3; Census Tract 502.23; Anoka County; Minnesota,425,90,0,10,0,10,0,10,0,10,0,10,0,10,16,20,0,10,0,10,0,10,14,21,26,27,67,44,47,33,62,44,193,68
1500000US270030502241,Block Group 1; Census Tract 502.24; Anoka County; Minnesota,584,150,0,10,10,16,0,10,0,10,23,26,0,10,36,39,0,10,34,33,52,60,51,54,58,38,80,60,58,34,68,51,114,121
1500000US270030502242,Block Group 2; Census Tract 502.24; Anoka County; Minnesota,898,217,10,16,8,11,0,10,0,10,0,10,0,10,0,10,12,21,0,10,119,171,25,38,98,67,107,62,121,54,167,126,231,88
1500000US270030502261,Block Group 1; Census Tract 502.26; Anoka County; Minnesota,530,128,0,10,0,10,7,12,21,25,10,16,0,10,21,33,11,17,11,17,71,87,61,38,84,51,87,48,30,27,97,82,19,21
1500000US270030502262,Block Group 2; Census Tract 502.26; Anoka County; Minnesota,805,174,0,10,0,10,0,10,0,10,23,24,12,20,19,22,45,70,0,10,9,14,124,83,48,35,55,37,168,99,228,145,74,37
1500000US270030502271,Block Group 1; Census Tract 502.27; Anoka County; Minnesota,453,119,8,13,0,10,9,14,0,10,0,10,0,10,0,10,0,10,13,18,0,10,30,28,72,42,116,82,82,62,64,57,59,43
1500000US270030502272,Block Group 2; Census Tract 502.27; Anoka County; Minnesota,408,118,17,27,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,115,96,83,57,16,19,107,81,70,53
1500000US270030502273,Block Group 3; Census Tract 502.27; Anoka County; Minnesota,264,87,10,15,12,17,0,10,12,18,0,10,8,14,11,17,0,10,0,10,37,57,21,24,48,39,17,17,54,48,0,10,34,36
1500000US270030502274,Block Group 4; Census Tract 502.27; Anoka County; Minnesota,501,119,24,39,16,25,0,10,0,10,11,18,26,27,12,19,0,10,19,31,9,16,61,63,22,26,94,48,31,34,97,49,79,72
1500000US270030502281,Block Group 1; Census Tract 502.28; Anoka County; Minnesota,1338,277,0,10,37,43,82,104,82,131,66,86,24,38,21,33,43,50,20,34,124,85,27,43,212,92,183,124,141,85,276,215,0,10
1500000US270030502282,Block Group 2; Census Tract 502.28; Anoka County; Minnesota,296,104,0,10,0,10,0,10,0,10,0,10,0,10,17,27,22,34,0,10,46,56,0,10,18,28,33,39,38,41,73,80,49,56
1500000US270030502283,Block Group 3; Census Tract 502.28; Anoka County; Minnesota,410,159,38,43,50,78,0,10,0,10,16,26,0,10,0,10,0,10,0,10,25,40,40,45,86,111,40,48,84,104,31,35,0,10
1500000US270030502284,Block Group 4; Census Tract 502.28; Anoka County; Minnesota,205,73,0,10,17,27,0,10,0,10,0,10,0,10,0,10,37,42,0,10,50,57,0,10,35,39,32,34,34,38,0,10,0,10
1500000US270030502285,Block Group 5; Census Tract 502.28; Anoka County; Minnesota,508,190,94,120,0,10,0,10,0,10,0,10,0,10,18,29,0,10,0,10,31,51,16,27,92,119,86,65,25,35,90,57,56,51
1500000US270030502291,Block Group 1; Census Tract 502.29; Anoka County; Minnesota,453,133,0,10,0,10,0,10,69,104,23,28,53,68,0,10,13,21,0,10,8,13,39,49,56,44,86,42,16,18,21,17,69,59
1500000US270030502292,Block Group 2; Census Tract 502.29; Anoka County; Minnesota,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US270030502293,Block Group 3; Census Tract 502.29; Anoka County; Minnesota,452,117,0,10,0,10,0,10,0,10,10,15,0,10,0,10,57,52,7,13,11,16,67,64,104,64,57,39,25,27,75,41,39,31
1500000US270030502294,Block Group 4; Census Tract 502.29; Anoka County; Minnesota,491,152,16,19,9,13,0,10,0,10,0,10,18,29,0,10,0,10,18,20,17,19,97,124,42,35,59,39,75,49,100,63,40,34
1500000US270030502295,Block Group 5; Census Tract 502.29; Anoka County; Minnesota,311,127,11,17,0,10,35,55,0,10,0,10,0,10,12,19,0,10,15,18,51,59,30,28,37,36,88,84,13,15,19,22,0,10
1500000US270030502301,Block Group 1; Census Tract 502.30; Anoka County; Minnesota,561,85,7,11,0,10,0,10,17,25,2,3,0,10,0,10,0,10,0,10,12,17,13,17,32,30,42,28,77,42,139,71,220,64
1500000US270030502302,Block Group 2; Census Tract 502.30; Anoka County; Minnesota,629,200,9,14,0,10,5,9,0,10,6,10,0,10,11,17,0,10,27,42,10,15,3,5,17,19,95,58,31,24,141,71,274,187
1500000US270030502321,Block Group 1; Census Tract 502.32; Anoka County; Minnesota,655,127,10,16,0,10,0,10,0,10,18,31,16,19,29,38,6,9,0,10,38,29,28,20,105,70,105,65,40,32,106,60,154,72
1500000US270030502322,Block Group 2; Census Tract 502.32; Anoka County; Minnesota,418,98,0,10,0,10,19,28,0,10,7,11,0,10,0,10,0,10,8,12,0,10,16,19,38,34,127,70,77,61,59,36,67,44
1500000US270030502323,Block Group 3; Census Tract 502.32; Anoka County; Minnesota,393,73,0,10,18,22,0,10,6,12,10,16,0,10,0,10,0,10,7,12,17,25,40,31,51,36,74,52,25,26,89,65,56,33
1500000US270030502331,Block Group 1; Census Tract 502.33; Anoka County; Minnesota,519,173,0,10,0,10,0,10,0,10,0,10,0,10,9,14,7,10,8,14,8,13,27,23,29,26,9,14,127,119,106,67,189,117
1500000US270030502332,Block Group 2; Census Tract 502.33; Anoka County; Minnesota,236,75,0,10,16,24,0,10,0,10,0,10,0,10,0,10,13,21,0,10,0,10,41,48,8,13,75,42,43,34,16,18,24,26
1500000US270030502333,Block Group 3; Census Tract 502.33; Anoka County; Minnesota,406,81,0,10,0,10,0,10,0,10,8,15,0,10,0,10,0,10,0,10,6,10,30,52,51,36,79,35,55,40,85,43,92,50
1500000US270030502341,Block Group 1; Census Tract 502.34; Anoka County; Minnesota,410,102,0,10,0,10,0,10,0,10,0,10,0,10,0,10,12,18,34,42,34,28,22,24,27,29,121,87,63,63,34,50,63,41
1500000US270030502342,Block Group 2; Census Tract 502.34; Anoka County; Minnesota,390,124,0,10,0,10,0,10,0,10,0,10,0,10,0,10,34,49,37,48,67,107,21,23,23,27,24,25,25,26,77,48,82,50
1500000US270030502343,Block Group 3; Census Tract 502.34; Anoka County; Minnesota,367,78,0,10,0,10,0,10,0,10,15,22,0,10,9,14,13,20,13,23,26,27,10,18,54,34,16,18,0,10,94,56,117,59
1500000US270030502351,Block Group 1; Census Tract 502.35; Anoka County; Minnesota,381,94,0,10,0,10,0,10,0,10,0,10,45,46,0,10,32,50,0,10,32,30,11,17,90,69,65,40,38,44,22,20,46,38
1500000US270030502352,Block Group 2; Census Tract 502.35; Anoka County; Minnesota,890,209,11,17,12,19,36,51,8,14,53,52,0,10,10,16,49,62,109,113,125,169,106,68,127,60,78,65,54,50,47,29,65,36
1500000US270030502361,Block Group 1; Census Tract 502.36; Anoka County; Minnesota,405,89,10,16,0,10,0,10,0,10,0,10,0,10,26,30,0,10,0,10,17,19,13,16,26,24,75,35,14,16,99,56,125,61
1500000US270030502362,Block Group 2; Census Tract 502.36; Anoka County; Minnesota,571,92,0,10,0,10,8,13,0,10,0,10,0,10,26,43,0,10,7,11,15,22,16,16,23,20,49,42,51,35,124,46,252,79
1500000US270030502363,Block Group 3; Census Tract 502.36; Anoka County; Minnesota,394,73,0,10,0,10,0,10,0,10,0,10,0,10,6,9,11,16,0,10,8,13,10,16,16,18,32,22,82,70,106,60,123,65
1500000US270030502371,Block Group 1; Census Tract 502.37; Anoka County; Minnesota,823,213,16,25,15,24,0,10,47,42,15,24,0,10,44,53,34,36,30,31,14,22,160,154,142,91,39,32,39,38,20,24,208,84
1500000US270030502372,Block Group 2; Census Tract 502.37; Anoka County; Minnesota,781,267,22,36,0,10,107,135,0,10,18,29,143,192,23,40,14,16,7,12,9,14,86,78,31,41,115,90,17,27,74,53,115,55
1500000US270030502373,Block Group 3; Census Tract 502.37; Anoka County; Minnesota,263,81,0,10,0,10,0,10,0,10,15,24,10,16,0,10,0,10,0,10,0,10,0,10,16,25,22,29,17,26,25,21,158,64
1500000US270030502374,Block Group 4; Census Tract 502.37; Anoka County; Minnesota,390,88,6,9,0,10,0,10,0,10,0,10,0,10,0,10,14,22,0,10,8,12,32,30,52,48,117,56,16,27,108,85,37,31
1500000US270030502381,Block Group 1; Census Tract 502.38; Anoka County; Minnesota,277,57,0,10,0,10,0,10,0,10,0,10,14,23,11,18,14,21,0,10,12,19,0,10,17,27,81,54,14,22,61,37,53,46
1500000US270030502382,Block Group 2; Census Tract 502.38; Anoka County; Minnesota,759,114,0,10,0,10,0,10,0,10,0,10,0,10,0,10,16,25,0,10,0,10,61,59,59,44,35,32,111,74,221,87,256,112
1500000US270030502383,Block Group 3; Census Tract 502.38; Anoka County; Minnesota,461,103,0,10,13,20,19,28,26,29,0,10,12,19,35,41,0,10,23,26,37,41,24,28,40,38,37,36,12,20,42,37,141,96
1500000US270030502391,Block Group 1; Census Tract 502.39; Anoka County; Minnesota,681,196,0,10,0,10,0,10,0,10,0,10,5,8,0,10,0,10,0,10,18,19,22,17,52,36,79,49,51,33,239,186,215,72
1500000US270030502392,Block Group 2; Census Tract 502.39; Anoka County; Minnesota,311,65,10,13,0,10,0,10,0,10,4,7,15,21,0,10,5,8,0,10,6,9,8,8,72,45,20,21,12,13,42,29,117,63
1500000US270030502401,Block Group 1; Census Tract 502.40; Anoka County; Minnesota,976,238,12,20,0,10,0,10,0,10,0,10,0,10,45,39,13,19,0,10,37,40,140,94,29,31,205,102,110,104,98,55,287,186
1500000US270030502402,Block Group 2; Census Tract 502.40; Anoka County; Minnesota,305,70,0,10,0,10,0,10,0,10,0,10,0,10,0,10,19,28,0,10,0,10,12,19,13,21,14,23,51,40,95,65,101,68
1500000US270030502411,Block Group 1; Census Tract 502.41; Anoka County; Minnesota,649,98,6,10,5,8,17,31,13,15,21,21,0,10,0,10,0,10,0,10,41,34,34,31,102,60,106,64,50,36,102,56,152,69
1500000US270030502412,Block Group 2; Census Tract 502.41; Anoka County; Minnesota,261,85,0,10,0,10,0,10,13,19,14,16,7,12,8,12,22,34,20,29,0,10,13,15,39,32,84,82,6,12,22,25,13,15
1500000US270030504011,Block Group 1; Census Tract 504.01; Anoka County; Minnesota,548,117,18,21,40,33,0,10,14,20,25,28,6,8,0,10,22,25,5,8,21,23,95,56,111,55,45,33,68,67,60,72,18,23
